video_title,index,index_filtered
COMMENT LES ISLAMISTES MANIPULENT LES HONNÊTES GENS,20,1
"""RÉCHAUFFEMENT CLIMATIQUE"" : LA PEUR POUR NOUS FAIRE ACCEPTER LA MISÈRE (pardon, la ""sobriété"")",5,4
AFFAIRE MILA - CIEL MON BLASPHÈME !,24,5
ÉMEUTES - MAINTENANT IL FAUT RÉPONDRE PAR LA FORCE,11,6
"CHOISIS TON CAMP, CAMARADE !",14,7
LAISSEZ LES ENFANTS TRANQUILLE !,23,8
Mise au point (si vous pensez que les élections européennes servent à quelque chose),67,10
CE QUI CLOCHE AVEC GRETA THUNBERG,15,11
LE PRINCIPAL PROBLÈME EN FRANCE (SUITE À MON AGRESSION),19,12
"MACRON, MCFLY & CARLITO & ENJOYPHOENIX : LES DESSOUS DE LA PROPAGANDE DES INFLUENCEURS",18,14
CE PAYS PART EN VRILLE,25,15
"MONSIEUR PATY, LES ISLAMISTES ET LA RÉPUBLIQUE",47,16
PASS SANITAIRE - EN MARCHE VERS LE TOTALITARISME ?,30,17
"FAUT-IL RASER NANTERRE ? - MÉTROPOLES, BANLIEUES, FRANCE PÉRIPHÉRIQUE (& MON AFFILIATION POLITIQUE)",37,19
DE QUOI ZEMMOUR EST-IL LE NOM ?,43,20
VACCINS : LE FIASCO (JAMAIS VU DEPUIS 1940),57,22
"LA NATION 🇫🇷 ÊTRE FRANÇAIS, C'EST QUOI ? Culture Pol #2",62,23
ATTAQUE À LA PRÉFECTURE - MENSONGE D'ÉTAT ?,40,24
APRÈS CRÉPOL,36,27
ALORS TU TE CROIS LIBRE DE FAIRE CE QUE TU VEUX ?,64,31
GRETA THUNBERG - L'HYSTÉRIE A REMPLACÉ LE DÉBAT,39,32
CAPITOLE - CECI N'EST PAS UN COUP D'ÉTAT,44,33
OBONO VS VALEURS ACTUELLES - RACISTE CONTRE RACISTE,58,34
SE CHANGER SOI-MÊME ou CHANGER LE SYSTÈME ?,56,35
LE VRAI PROBLÈME DES ÉCOLOS,45,36
"PROF BRAQUÉE PAR UN ÉLÈVE - ÉDUCATION, LE GRAND MALAISE",73,38
ISLAM - LES BASES (comprendre les enjeux),92,40
OK BOOMER - L'analyse ultime,72,41
14 JUILLET - MACRON FAIT SA FÊTE... À LA NATION,88,43
JE DEFIE LA CLASSE POLITIQUE,85,49
"BON, LE GOUVERNEMENT A DÉCIDÉ DE TRUQUER LES PROCHAINES ÉLECTIONS...",59,50
EUROPÉENNES - ANALYSE RÉSULTATS ... ET APRÈS ?,112,53
MES OPINIONS POLITIQUES : JE VOUS DIS TOUT,55,54
LA CRISE POLITIQUE A (ENFIN ?) ATTEINT LES INSTITUTIONS 🏛,70,55
BORDEAUX - UNE AGRESSION COMME IL S'EN PRODUIT DES DIZAINES PAR JOUR EN FRANCE,89,57
CANDIDATE AUX EUROPÉENNES - JE VOUS DIS TOUT,75,58
DISSOLUTION : CETTE VÉRITÉ SUR LA FRANCE QUE MACRON VOUDRAIT FAIRE DISPARAÎTRE...,74,59
JULIE GRAZIANI = CONFORMISME BIEN-PENSANT ?,83,61
🚨ALERTE ! ÉPIDÉMIE DE CRÉTINISME AU GOUVERNEMENT !🌡,66,62
CE QUI MANQUE À LA FRANCE,128,63
PEUT-ON VIVRE SANS POLITIQUE ? #CulturePol 1,134,67
CONFINEMENT TOTAL MAIS PAS TROP (mais quand même un peu parce que bon),69,68
"CENSURE, AUTOCENSURE, CHANTAGE... POURQUOI LES MÉDIAS SONT PRO-MACRON",96,71
CETTE CHANSON QUI DIVISE L'AMÉRIQUE PARLE AUSSI DE LA FRANCE,97,72
☄️LA (TERRIFIANTE) HISTOIRE D'UNE BOURGEOISIE DÉCÉRÉBRÉE ☄️,81,74
Réponse à Usul - Gauche & Droite - Les bases... de la politique ?,93,76
RÉPRESSION - QUAND NOS GOUVERNANTS N'ONT PLUS QUE LA FORCE,95,77
BREXIT - LA FIN DE L'UNION EUROPÉENNE ?,94,80
QUAND LES BIG BOSS NOUS DÉVOILENT LE PROJET DE LA CLASSE DIRIGEANTE...,99,82
LA RÉPUBLIQUE 🇫🇷 L'épopée d'un peuple devenu maître de son destin... ou presque.,136,83
LE NUCLÉAIRE EXPLIQUÉ À CEUX QUI N'Y COMPRENNENT RIEN - ENTRETIEN AVEC TRISTAN KAMIN,137,84
Années 80 et 90 - Quand Tout allait bien - Garanti 100% MILLENIAL,102,86
A quoi sert le Raptor dissident ?,108,87
"RÉVOLTE GÉNÉRALE ? Chili, Liban, Catalogne, Hong Kong, Irak... Le monde s'embrase",127,91
J'interviewe le médecin qui a trouvé la cause du covid long - ENTRETIEN AVEC LE DR PATTERSON,158,92
J'ai testé pour vous : le SALON DE L'AGRICULTURE,164,94
"ÉPIDÉMIE - MINISTRE AUX FRAISES, HÔPITAL AUX ABOIS",103,97
DÉPUTÉS FAINÉANTS - MÉLENCHON À LA RESCOUSSE !,105,100
GREVE du BAC - HOMMAGE AUX VICTIMES,138,101
PARIGO DELENDA EST ?!,121,102
CETA - L'IMPOSTURE EXPLIQUÉE À CEUX QUI L'ONT VOTÉE (ET AUX AUTRES),107,103
IL EST TEMPS DE RÉHABILITER LE TRAVAIL MANUEL (ET UTILE),114,104
SÉRIE D'UTILITÉ PUBLIQUE - À VOIR ABSOLUMENT,125,105
HELLFEST 2018 🤘 FIRE AND BLOOD AND ROCK N'ROLL 🎸,141,107
GUERRE EN 🇺🇦 - LA FIN DE LA MONDIALISATION ? ENTRETIEN AVEC G. KUZMANOVIC,122,109
URGENCE AUX URGENCES ! 🌡 DÉCRYPTAGE DES ANNONCES DU GOUVERNEMENT 🌡,113,110
"NOTRE-DAME, LES MISERABLES ET LES MARCHANDS DU TEMPLE",130,115
7 (BONNES) RAISONS DE SIGNER POUR UN RÉFÉRENDUM SUR ADP,119,117
CARAMBAR EN GRÈVE - LE MARCHÉ VA-T-IL TUER LES BLAGUES ? ... (j'ai une solution),124,123
COMMENT VAINCRE DAECH ? Les bases,142,124
SURVIVRE AU BLACK FRIDAY,133,126
JE SUIS MENNEL,132,129
"FOOT - VICTOIRE DES BLEUS, FESTIVAL DE LA RÉCUP & JOIE PURE",166,130
